id_film,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline
35056.0,Date Night,2010-04-08,"['Comedy', 'Action', 'Adventure']",English,6.1,2582.0,18.583,"Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves—and now a number of unsavoury characters want Phil and Claire killed.",55000000,"['Dune Entertainment', '21 Laps Entertainment', 'TSG Entertainment']",152263880,97.0,One ordinary couple. One little white lie.
437109.0,The Villainess,2017-06-08,"['Action', 'Drama', 'Crime', 'Thriller', 'Adventure']",Korean,6.8,577.0,18.582,A young girl is raised as a killer in the Yanbian province of China. She hides her identity and travels to South Korea where she hopes to lead a quiet life but becomes involved with two mysterious men.,125000,"['Apeitda', 'Next Entertainment World', 'Contents Panda']",8737458,129.0,An endless vengeance begins
208134.0,Jackass Presents: Bad Grandpa,2013-10-22,['Comedy'],English,6.1,1421.0,18.581,"86-year-old Irving Zisman is on a journey across America with the most unlikely companion: his 8 year-old grandson, Billy.",15000000,"['Paramount', 'MTV Films', 'Dickhouse Productions']",151831537,92.0,Real people. Real reactions. Real messed up.
9285.0,Road Trip,2000-05-19,"['Comedy', 'Adventure']",English,6.2,1697.0,18.578,"From the director of the Hangover trilogy and Joker, Road Trip is a raunchy college comedy classic.  After an Ithaca college student films his one-night stand with a beautiful sorority girl, he discovers one of his friends has accidentally mailed the homemade porn tape to his girlfriend. In a frenzy, he must borrow a car and hit the road in a desperate bid to intercept the tape.  Featuring a talented cast that includes Breckin Meyer, Rachel Blanchard, Seann William Scott, Amy Smart, Fred Ward, Tom Green, Anthony Rapp, Andy Dick, and Ethan Suplee.",16000000,"['The Montecito Picture Company', 'DreamWorks Pictures']",119754278,93.0,The greatest college tradition of all.
21057.0,Ocean Waves,1993-05-05,"['Animation', 'Drama', 'Romance', 'TV Movie']",Japanese,6.4,723.0,18.575,"At Kichijōji Station, Tokyo, Taku Morisaki glimpses a familiar woman on the platform opposite boarding a train. Later, her photo falls from a shelf as he exits his apartment before flying to Kōchi Prefecture. Picking it up, he looks at it briefly before leaving. As the aeroplane takes off, he narrates the events that brought her into his life...",0,"['Studio Ghibli', 'Tokuma Shoten', 'J.C.STAFF', 'Nippon Television Network Corporation']",0,72.0,NO_TAGLINE
9869.0,Patriot Games,1992-06-04,"['Drama', 'Action', 'Thriller', 'Crime']",English,6.7,1399.0,18.571,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.",45000000,"['Paramount', 'Mace Neufeld Productions']",178051587,117.0,Not for honor. Not for country. For his wife and child.
858082.0,Ponniyin Selvan: Part II,2023-04-28,"['Action', 'Adventure', 'Drama']",Tamil,6.9,19.0,18.566,"Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire of South India.",0,"['Madras Talkies', 'Lyca Productions']",0,165.0,The Cholas are Back
699173.0,Married Women: Husband Change,2020-01-23,['Romance'],Korean,5.0,4.0,18.566,"After marriage, Sun-ah and Joo-hee seem to have become bored with their husbands. They meet and talked about their worries. Because their husbands coldness, they can't even remember when was the last time they had sex. Joo-hee says she can't take it anymore so she tried to find someone through a dating app but Sun-ah stopped her. After contemplating, they both wore sexy lingeries and tried to seduce their husbands, but it didn't work. Finally, as a last resort, they change husbands for a night and make love...",0,[],0,71.0,NO_TAGLINE
440021.0,Happy Death Day,2017-10-12,"['Horror', 'Mystery', 'Comedy']",English,6.6,5610.0,18.562,"Caught in a bizarre and terrifying time warp, college student Tree finds herself repeatedly reliving the day of her murder, ultimately realizing that she must identify the killer and the reason for her death before her chances of survival run out.",4800000,"['Vesuvius Productions', 'Blumhouse Productions', 'Digital Riot Media']",125479266,97.0,Get up. Live your day. Get killed. Again.
31646.0,Piranha II: The Spawning,1982-08-14,['Horror'],English,4.4,204.0,18.555,"A scuba diving instructor, her biochemist boyfriend, and her police chief ex-husband try to link a series of bizarre deaths to a mutant strain of piranha fish whose lair is a sunken freighter ship off a Caribbean island resort.",145786,"['Brouwersgracht Investments', 'Chako Film Company', 'Columbia Pictures']",0,84.0,It started as a vacation...
